station,split,score
201,0,4.223880597014926
201,1,2.9064200183964166
201,2,3.01293077756105
201,3,2.1890540014801747
201,4,4.023526276498266
201,5,3.009106245131302
201,6,2.492677146448793
201,7,2.2184526340570816
201,8,3.9218890229847547
201,9,2.8294351172620535
202,0,3.044776119402985
202,1,3.487706600698305
202,2,2.3288205083986466
202,3,1.3624635702368584
202,4,1.8537612083299508
202,5,3.169145591041056
202,6,2.8818727155198895
202,7,2.300942347958737
202,8,2.0796085367398214
202,9,2.117796747907955
203,0,4.074626865671642
203,1,2.737087314128982
203,2,3.5182251248893626
203,3,1.8457846559059645
203,4,2.437963768354459
203,5,2.60449409855667
203,6,1.1831601764346014
203,7,3.633479088504782
203,8,2.051751217282176
203,9,3.0208913439598484
204,0,6.313432835820896
204,1,5.185129602860653
204,2,3.5519985764794586
204,3,2.6899395526195127
204,4,5.143254455697962
204,5,3.626893548641083
204,6,3.7755956819495538
204,7,2.846248909913308
204,8,2.6172826829951674
204,9,2.3430194576717467
205,0,2.8059701492537314
205,1,3.6368538888010256
205,2,2.0201191032364014
205,3,2.8190170995672403
205,4,3.26523047926509
205,5,3.6795810857615576
205,6,3.021039627994751
205,7,1.538643562795345
205,8,1.5967196727060085
205,9,3.5073373505212495
206,0,5.582089552238806
206,1,4.721098152953092
206,2,3.2586563387808027
206,3,2.83954737731093
206,4,2.37923746887535
206,5,4.8349337980129015
206,6,2.344799441421143
206,7,2.2889316067507046
206,8,3.7080516382146778
206,9,2.464259275029841
207,0,2.4925373134328357
207,1,4.895522520205964
207,2,2.5166198500281047
207,3,1.8918569551607183
207,4,2.5389256292991615
207,5,2.7101513498004066
207,6,2.370420783789265
207,7,2.6362193379553323
207,8,1.8393812124151638
207,9,1.713630514787982
208,0,3.985074626865672
208,1,5.487731159260719
208,2,4.315332078382241
208,3,4.086152618260482
208,4,4.664572432470788
208,5,6.311038354792929
208,6,2.882223252404439
208,7,4.050319760388593
208,8,2.921064456954003
208,9,3.02089372710698
209,0,3.2761194029850746
209,1,3.4351480137778205
209,2,2.5908455598055524
209,3,2.444521468758529
209,4,3.8273082995621044
209,5,4.34294814630832
209,6,4.1022808281525585
